Title Searched,Title Result,Titles Fuzzy Sim,Titles Cosine Sim,Year Searched,Year Result,Director Searched,Director Result,Directors Fuzzy Sim,Directors Cosine Sim,Link
OSCAR NOMINATED ANIMATED SHORTS,2025 Oscar Nominated Short Films: Live Action,0.58,0.378,2025,2025,,,,,/movie/2025-oscar-nominated-short-films-live-action/
OSCAR NOMINATED ANIMATED SHORTS,2025 Oscar Nominated Short Films: Animation,0.62,0.408,2025,2025,,,,,/movie/2025-oscar-nominated-short-films-animation/
OSCAR NOMINATED ANIMATED SHORTS,2025 Oscar Nominated Short Films: Documentary,0.58,0.408,2025,2025,,,,,/movie/2025-oscar-nominated-short-films-documentary/
OSCAR NOMINATED ANIMATED SHORTS,,,,2025,,,,,,
TANGERINE,Tangerine,1.0,1.0,2015,2015,Sean Baker,Sean Baker,1.0,1.0,/movie/tangerine/
PATHER PANCHALI,,,,1955,,Satyajit Ray,,,,
TAKE SHELTER,Take Shelter,1.0,1.0,2011,2011,Jeff Nichols,Jeff Nichols,1.0,1.0,/movie/take-shelter/
UNIVERSAL LANGUAGE,Universal Language,1.0,1.0,2024,2024,Matthew Rankin,Matthew Rankin,1.0,1.0,/movie/universal-language/
COLUMBUS,Columbus,1.0,1.0,2017,2017,Kogonada,Kogonada,1.0,1.0,/movie/columbus/
"GOOD BYE, LENIN!",Goodbye Lenin!,0.93,0.408,2003,2003,Wolfgang Becker,Wolfgang Becker,1.0,1.0,/movie/goodbye-lenin!/
ON BECOMING A GUINEA FOWL,On Becoming a Guinea Fowl,1.0,1.0,2024,2024,Rungano Nyoni,Rungano Nyoni,1.0,1.0,/movie/on-becoming-a-guinea-fowl/
A WOMAN IS A WOMAN,A Woman Is a Woman,1.0,1.0,1961,1961,Jean-Luc Godard,Jean-Luc Godard,1.0,1.0,/movie/a-woman-is-a-woman/
WHITE COURAGE,,,,2024,,Marcin Koszalka,,,,
SEVEN VEILS,Seven Veils,1.0,1.0,2025,2023,Atom Egoyan,Atom Egoyan,1.0,1.0,/movie/seven-veils/
SHATTERED GAMES,,,,2024,,Marek Bukowski,,,,
THE LOVE BUZZ,The Nature of Love,0.52,0.577,2024,2023,Maciej Migas,Monia Chokri,0.33,0.0,/movie/the-nature-of-love/
THE LOVE BUZZ,,,,2024,,Maciej Migas,,,,
SIMONA KOSSAK,,,,2024,,Adrian Panek,,,,
THE A(A) TEAM,The A-Team,0.78,1.0,2024,2010,Daniel Jaroszek,Joe Carnahan,0.3,0.0,/movie/the-a-team/
THE A(A) TEAM,We Beat the Dream Team,0.57,0.632,2024,2025,Daniel Jaroszek,Michael Tolajian,0.39,0.0,/movie/we-beat-the-dream-team/
THE A(A) TEAM,,,,2024,,Daniel Jaroszek,,,,
EUROPA EUROPA,Europa Europa,1.0,1.0,1990,1990,Agnieszka Holland,Agnieszka Holland,1.0,1.0,/movie/europa-europa/
THREE COLORS: BLUE,Three Colors: Blue,1.0,1.0,1993,1993,Krzysztof Kieslowski,Krzysztof Kieslowski,1.0,1.0,/movie/three-colors-blue/
ASHES AND DIAMONDS,,,,1958,,Andrzej Wajda,,,,
INCENDIES,Incendies,1.0,1.0,2010,2010,Denis Villeneuve,Denis Villeneuve,1.0,1.0,/movie/incendies/
THREE COLORS: WHITE,Three Colors: White,1.0,1.0,1994,1994,Krzysztof Kieslowski,Krzysztof Kieslowski,1.0,1.0,/movie/three-colors-white/
WOMAN OF,Kiss of the Spider Woman,0.31,0.632,2024,2025,Michal Englert,Bill Condon,0.32,0.0,/movie/kiss-of-the-spider-woman-2025/
WOMAN OF,Woman of the Hour,0.64,0.707,2024,2023,Michal Englert,Anna Kendrick,0.37,0.0,/movie/woman-of-the-hour/
WOMAN OF,Diane von Furstenberg: Woman in Charge,0.26,0.289,2024,2024,Michal Englert,"Trish Dalton, Sharmeen Obaid-Chinoy",0.29,0.0,/movie/diane-von-furstenberg-woman-in-charge/
WOMAN OF,Young Woman and the Sea,0.39,0.316,2024,2024,Michal Englert,Joachim Rønning,0.34,0.0,/movie/young-woman-and-the-sea/
THREE COLORS: RED,Three Colors: Red,1.0,1.0,1994,1994,Krzysztof Kieslowski,Krzysztof Kieslowski,1.0,1.0,/movie/three-colors-red/
IDENTIFICATION MARKS: NONE,,,,1965,,Jerzy Skolimowski,,,,
EO,EO,1.0,1.0,2022,2022,Jerzy Skolimowski,Jerzy Skolimowski,1.0,1.0,/movie/eo/
IT'S NOT MY FILM,My First Film,0.55,0.577,2024,2024,Maria Zbaska,Zia Anger,0.38,0.0,/movie/my-first-film/
IT'S NOT MY FILM,You Are So Not Invited to My Bat Mitzvah!,0.35,0.333,2024,2023,Maria Zbaska,Sammi Cohen,0.26,0.0,/movie/you-are-so-not-invited-to-my-bat-mitzvah!/
IT'S NOT MY FILM,My First Horror Film,0.5,0.5,2024,2023,Maria Zbaska,Shihan Van Clief,0.29,0.0,/movie/my-first-horror-film/
IT'S NOT MY FILM,Made in England: The Films of Powell and Pressburger,0.26,0.0,2024,2024,Maria Zbaska,David Hinton,0.25,0.0,/movie/made-in-england-the-films-of-powell-and-pressburger/
IT'S NOT MY FILM,Filmlovers!,0.3,0.0,2024,2024,Maria Zbaska,Arnaud Desplechin,0.34,0.0,/movie/filmlovers!/
IT'S NOT MY FILM,Renaissance: A Film by Beyoncé,0.39,0.25,2024,2023,Maria Zbaska,"Beyoncé, Mark Ritchie, Ed Burke",0.33,0.0,/movie/renaissance-a-film-by-beyonce/
IT'S NOT MY FILM,,,,2024,,Maria Zbaska,,,,
KULEJ. ALL THAT GLITTERS ISN’T GOLD,Rock Hudson: All That Heaven Allowed,0.48,0.333,2024,2023,Xawery Zulawski,Stephen Kijak,0.29,0.0,/movie/rock-hudson-all-that-heaven-allowed/
KULEJ. ALL THAT GLITTERS ISN’T GOLD,All That's Left of You,0.49,0.365,2024,2025,Xawery Zulawski,Cherien Dabis,0.36,0.0,/movie/all-thats-left-of-you/
KULEJ. ALL THAT GLITTERS ISN’T GOLD,It's All Over: The Kiss That Changed Spanish Football,0.41,0.272,2024,2024,Xawery Zulawski,Joanna Pardos,0.29,0.0,/movie/its-all-over-the-kiss-that-changed-spanish-football/
KULEJ. ALL THAT GLITTERS ISN’T GOLD,That They May Face the Rising Sun,0.38,0.154,2024,2023,Xawery Zulawski,Pat Collins,0.31,0.0,/movie/that-they-may-face-the-rising-sun/
KULEJ. ALL THAT GLITTERS ISN’T GOLD,,,,2024,,Xawery Zulawski,,,,
UNDER THE GREY SKY,Under the Crystal Sky,0.82,0.75,2024,2025,Mara Tamkovich,Matt Hartley,0.31,0.0,/movie/under-the-crystal-sky/
UNDER THE GREY SKY,,,,2024,,Mara Tamkovich,,,,
ERIC LARUE,Eric Larue,1.0,1.0,2025,2023,Michael Shannon,Michael Shannon,1.0,1.0,/movie/eric-larue/
3000 NIGHTS,,,,2015,,Mai Masri,,,,
MINGHUN,,,,2024,,Jan P. Matuszynski,,,,
