Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
If Beale Street Could Talk,2018,Barry Jenkins,/movie/if-beale-street-could-talk/,If Beale Street Could Talk,2018,Barry Jenkins,0.87,119,"Set in early-1970s Harlem, If Beale Street Could Talk is a timeless and moving love story of both a couple's unbreakable bond and the African-American family's empowering embrace, as told through the eyes of 19-year old Tish Rivers (KiKi Layne).  A daughter and wife-to-be, Tish vividly recalls the passion, respect and trust that have con...","Barry Jenkins, James Baldwin"
Mad Max: Fury Road,2015,George Miller,/movie/mad-max-fury-road/,Mad Max: Fury Road,2015,George Miller,0.9,120,"In the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and everyone is fighting for the necessities of life, there are two rebels who just might be able to restore order—Max (Tom Hardy), a man of action and few words, who seeks peace of mind following the loss of his wife and child in the aftermath o...","George Miller, Brendan McCarthy, Nick Lathouris"
Babygirl,2024,Halina Reijn,/movie/babygirl-2024/,Babygirl,2024,Halina Reijn,0.79,114,A high-powered CEO (Nicole Kidman) puts her career and family on the line when she begins a torrid affair with her much younger intern (Harris Dickinson).,Halina Reijn
Inside the Yellow Cocoon Shell,2023,Thien An Pham,/movie/inside-the-yellow-cocoon-shell/,Inside the Yellow Cocoon Shell,2024,Thien An Pham,0.94,178,"After a car accident claims the life of his sister-in-law and leaves his 5-year-old nephew an orphan, a thirtysomething man named Thien (Le Phong Vu) leaves Saigon for a trip back to his rural hometown. During his meditative, wandering visit, Thien wrestles with his own agnosticism in the face of others’ religious beliefs, summons memori...",Thien An Pham
Nosferatu,2024,Robert Eggers,/movie/nosferatu-2024/,Nosferatu,2024,Robert Eggers,0.78,132,"Robert Eggers’ Nosferatu is a gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","Robert Eggers, Henrik Galeen, Bram Stoker"
The Seed of the Sacred Fig,2024,Mohammad Rasoulof,/movie/the-seed-of-the-sacred-fig/,The Seed of the Sacred Fig,2024,Mohammad Rasoulof,0.84,168,"Investigating judge Iman grapples with paranoia amid political unrest in Tehran. When his gun vanishes, he suspects his wife and daughters, imposing draconian measures that strain family ties as societal rules crumble.",Mohammad Rasoulof
Saltburn,2023,Emerald Fennell,/movie/saltburn/,Saltburn,2023,Emerald Fennell,0.61,127,"Struggling to find his place at Oxford University, student Oliver Quick (Barry Keoghan) finds himself drawn into the world of the charming and aristocratic Felix Catton (Jacob Elordi), who invites him to Saltburn, his eccentric family’s sprawling estate.",Emerald Fennell
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",/movie/spider-man-into-the-spider-verse/,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",0.87,117,"Spider-Man: Into the Spider-Verse introduces Brooklyn teen Miles Morales, and the limitless possibilities of the Spider-Verse, where more than one can wear the mask.","Phil Lord, Rodney Rothman"
Adaptation,2002,Spike Jonze,/movie/adaptation/,Adaptation.,2002,Spike Jonze,0.83,114,"The lives of screenwriter Charlie Kaufman (Cage), author Susan Orlean (Streep) and orchid poacher John Laroche (Cooper) become strangely intertwined as each one's search for passion collides with the others' in this adaptation of the best-selling ""The Orchid Thief."" [Columbia Pictures]","Susan Orlean, Charlie Kaufman"
The Mighty Ducks,1992,Stephen Herek,/movie/the-mighty-ducks/,The Mighty Ducks,1992,Stephen Herek,0.46,100,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,Steven Brill
The Next Karate Kid,1994,Christopher Cain,/movie/the-next-karate-kid/,The Next Karate Kid,1994,Christopher Cain,0.36,107,Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.,"Robert Mark Kamen, Mark Lee"
One to One: John & Yoko,2025,Kevin MacDonald,/movie/one-to-one-john-yoko/,One to One: John & Yoko,2025,"Kevin Macdonald, Sam Rice-Edwards",0.81,100,"Set in 1972 New York, this documentary explores John and Yoko's world amid a turbulent era. Centered on the One to One charity concert for special needs children, it features unseen archives, home movies, and restored footage.",
That They May Face the Rising Sun,2025,Pat Collins,/movie/that-they-may-face-the-rising-sun/,That They May Face the Rising Sun,2025,Pat Collins,0.84,111,"Joe and Kate Ruttledge have returned from London to live and work among the small, close-knit community near to where Joe grew up. Now deeply embedded in life around the lake, the drama of a year in their lives and those of the memorable characters around them unfolds through the rituals of work, play and the passing seasons as this encl...","Eamon Little, Pat Collins, John McGahern"
